Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-31 12-AM,XRPUSD,0.4438,0.4438,0.4429,0.4431,2149.29,952.26
2018-10-30 11-PM,XRPUSD,0.4432,0.4447,0.4427,0.4438,232356.97,103034.29
2018-10-30 10-PM,XRPUSD,0.4405,0.4446,0.4391,0.4432,848547.61,375298.5
2018-10-30 09-PM,XRPUSD,0.4412,0.442,0.4396,0.4405,146203.45,64405.63
2018-10-30 08-PM,XRPUSD,0.4391,0.4418,0.439,0.4412,456217.12,201229.24
2018-10-30 07-PM,XRPUSD,0.442,0.442,0.4369,0.4391,549121.69,240910.79
2018-10-30 06-PM,XRPUSD,0.4409,0.442,0.4393,0.442,354475.76,156332.59
2018-10-30 05-PM,XRPUSD,0.4416,0.442,0.4401,0.4409,130433.25,57527.71
2018-10-30 04-PM,XRPUSD,0.4438,0.4439,0.4406,0.4416,895938.61,395829.65
2018-10-30 03-PM,XRPUSD,0.4432,0.4452,0.443,0.4438,308355.66,136935.93
2018-10-30 02-PM,XRPUSD,0.4434,0.4446,0.4421,0.4432,251010.23,111231.22
2018-10-30 01-PM,XRPUSD,0.443,0.4444,0.4422,0.4434,451463.22,200155.89
2018-10-30 12-PM,XRPUSD,0.4415,0.4461,0.4415,0.443,514550.5,228617.05
2018-10-30 11-AM,XRPUSD,0.4417,0.4429,0.439,0.4415,859790.59,379157.05
2018-10-30 10-AM,XRPUSD,0.4419,0.4423,0.44,0.4417,238414.32,105169.02
2018-10-30 09-AM,XRPUSD,0.4418,0.4424,0.4396,0.4419,332429.67,146768.58
2018-10-30 08-AM,XRPUSD,0.4437,0.4437,0.4402,0.4418,1077549.97,476543.14
2018-10-30 07-AM,XRPUSD,0.4435,0.4443,0.4425,0.4437,164937.23,73053.6